id,code,name,source,name@ro
unece_10,10,group,rec20,grup
unece_11,11,outfit,rec20,articole de îmbrăcăminte
unece_13,13,ration,rec20,rație
unece_14,14,shot,rec20,explozie
unece_15,15,"stick, military",rec20,"bară, militar"
unece_20,20,twenty foot container,rec20,container de 20 de picioare
unece_21,21,forty foot container,rec20,container de 40 de picioare
unece_22,22,decilitre per gram,rec20,decilitru per gram
unece_23,23,gram per cubic centimetre,rec20,gram per centimetru cub
unece_24,24,theoretical pound,rec20,livră teoretică
unece_25,25,gram per square centimetre,rec20,gram per centimetru cub
unece_27,27,theoretical ton,rec20,tonă teoretică
unece_28,28,kilogram per square metre,rec20,kilogram per metru pătrat
unece_33,33,kilopascal square metre per gram,rec20,kilopascal în metru pătrat pe gram
unece_34,34,kilopascal per millimetre,rec20,kilopascal pe milimetru
unece_35,35,millilitre per square centimetre second,rec20,mililitru pe centimetru pătrat secundă
unece_37,37,ounce per square foot,rec20,uncie pe metru pătrat
unece_38,38,"ounce per square foot per 0,01inch",rec20,"uncie pe picior pătrat pe 0,01 inch"
unece_40,40,millilitre per second,rec20,mililitru pe secundă
unece_41,41,millilitre per minute,rec20,mililitru pe minut
unece_56,56,sitas,rec20,sitas - unitate de măsură pentru suprafață
unece_57,57,mesh,rec20,celulă
unece_58,58,net kilogram,rec20,kilogram net
unece_59,59,part per million,rec20,parte per milion
unece_60,60,percent weight,rec20,procente greutate
unece_61,61,part per billion (US),rec20,parte pe miliard (SUA)
unece_74,74,millipascal,rec20,milipascal
unece_77,77,milli-inch,rec20,mili-inci
unece_80,80,pound per square inch absolute,rec20,livră per inci pătrat absolut
unece_81,81,henry,rec20,Henry (inductanță)
unece_85,85,foot pound-force,rec20,Picior-Livră-Forță
unece_87,87,pound per cubic foot,rec20,livră per picior cub
unece_89,89,poise,rec20,poise (unitate de măsură pentru vâscozitate)
unece_91,91,stokes,rec20,vâscozitate cinematică
unece_1i,1I,fixed rate,rec20,rată fixă
unece_2a,2A,radian per second,rec20,radian per secundă
unece_2b,2B,radian per second squared,rec20,radian per secundă la pătrat
unece_2c,2C,roentgen,rec20,raze roentgen
unece_2g,2G,volt AC,rec20,Volți AC
unece_2h,2H,volt DC,rec20,Volți DC
unece_2i,2I,British thermal unit (international table) per hour,rec20,Unitate termică britanică (masă internațională) pe oră
unece_2j,2J,cubic centimetre per second,rec20,centimetru cub per secundă
unece_2k,2K,cubic foot per hour,rec20,picior cub per oră
unece_2l,2L,cubic foot per minute,rec20,picior cub per minut
unece_2m,2M,centimetre per second,rec20,centimetru per secundă
unece_2n,2N,decibel,rec20,decibel
unece_2p,2P,kilobyte,rec20,kilobyte
unece_2q,2Q,kilobecquerel,rec20,kilobecquerel
unece_2r,2R,kilocurie,rec20,kilocurie
unece_2u,2U,megagram,rec20,megagram
unece_2x,2X,metre per minute,rec20,metru per minut
unece_2y,2Y,milliroentgen,rec20,milliroentgen
unece_2z,2Z,millivolt,rec20,milivolt
unece_3b,3B,megajoule,rec20,megajoule
unece_3c,3C,manmonth,rec20,om-lună
unece_4c,4C,centistokes,rec20,centistokes
unece_4g,4G,microlitre,rec20,microlitru
unece_4h,4H,micrometre (micron),rec20,micrometru (micron)
unece_4k,4K,milliampere,rec20,miliamper
unece_4l,4L,megabyte,rec20,megabyte
unece_4m,4M,milligram per hour,rec20,miligram per oră
unece_4n,4N,megabecquerel,rec20,megabecquerel
unece_4o,4O,microfarad,rec20,microfarad
unece_4p,4P,newton per metre,rec20,newton per metru
unece_4q,4Q,ounce inch,rec20,uncie inch
unece_4r,4R,ounce foot,rec20,uncie picior
unece_4t,4T,picofarad,rec20,picofarad
unece_4u,4U,pound per hour,rec20,livră per oră
unece_4w,4W,ton (US) per hour,rec20,tonă (SUA) per oră
unece_4x,4X,kilolitre per hour,rec20,kilolitru per oră
unece_5a,5A,barrel (US) per minute,rec20,baril (SUA) per minut
unece_5b,5B,batch,rec20,lot
unece_5e,5E,MMSCF/day,rec20,MMSCF/zi
unece_5j,5J,hydraulic horse power,rec20,cai-putere în sistemele hidraulice
unece_a10,A10,ampere square metre per joule second,rec20,amper metru pătrat per joule secundă
unece_a11,A11,angstrom,rec20,angstrom
unece_a12,A12,astronomical unit,rec20,unitate astronomică
unece_a13,A13,attojoule,rec20,attojoule
unece_a14,A14,barn,rec20,hambar
unece_a15,A15,barn per electronvolt,rec20,hambar per electronvolt
unece_a16,A16,barn per steradian electronvolt,rec20,hambar per electronvolt sterradian
unece_a17,A17,barn per steradian,rec20,hambar per steradian
unece_a18,A18,becquerel per kilogram,rec20,becquerel per kilogram
unece_a19,A19,becquerel per cubic metre,rec20,becquerel per metru cub
unece_a2,A2,ampere per centimetre,rec20,amperi pe centimetru
unece_a20,A20,British thermal unit (international table) per second square foot degree Rankine,rec20,Unitate termică britanică (tabel internațional) per secundă de picior la pătrat grad Rankine
unece_a21,A21,British thermal unit (international table) per pound degree Rankine,rec20,Unitate termică britanică (tabel internațional) per livră grad Rankine
unece_a22,A22,British thermal unit (international table) per second foot degree Rankine,rec20,Unitate termică britanică (tabel internațional) per gradul secund de picior Rankine
unece_a23,A23,British thermal unit (international table) per hour square foot degree Rankine,rec20,Unitate termică britanică (tabel internațional) per oră grad Rankine de picior pătrat
unece_a24,A24,candela per square metre,rec20,candela per metru pătrat
unece_a26,A26,coulomb metre,rec20,metru coulomb
unece_a27,A27,coulomb metre squared per volt,rec20,metru coulomb pătrat pe volt
unece_a28,A28,coulomb per cubic centimetre,rec20,coulomb per centimetru cub
unece_a29,A29,coulomb per cubic metre,rec20,coulomb per metru cub
unece_a3,A3,ampere per millimetre,rec20,amperi pe milimetru
unece_a30,A30,coulomb per cubic millimetre,rec20,coulomb per milimetru cub
unece_a31,A31,coulomb per kilogram second,rec20,coulomb per kilogram secundă
unece_a32,A32,coulomb per mole,rec20,coulomb per mol
unece_a33,A33,coulomb per square centimetre,rec20,coulomb per centimetru pătrat
unece_a34,A34,coulomb per square metre,rec20,coulomb per metru pătrat
unece_a35,A35,coulomb per square millimetre,rec20,coulomb per milimetru pătrat
unece_a36,A36,cubic centimetre per mole,rec20,centimetru cub per mol
unece_a37,A37,cubic decimetre per mole,rec20,decimetru cub per mol
unece_a38,A38,cubic metre per coulomb,rec20,metru cub per coulomb
unece_a39,A39,cubic metre per kilogram,rec20,metru cub per kilogram
unece_a4,A4,ampere per square centimetre,rec20,amperi per centimetru pătrat
unece_a40,A40,cubic metre per mole,rec20,metru cub per mol
unece_a41,A41,ampere per square metre,rec20,amperi pe metru pătrat
unece_a42,A42,curie per kilogram,rec20,curie per kilogram
unece_a43,A43,deadweight tonnage,rec20,tonaj greu
unece_a44,A44,decalitre,rec20,decalitru
unece_a45,A45,decametre,rec20,decametru
unece_a47,A47,decitex,rec20,decitex
unece_a48,A48,degree Rankine,rec20,gradul Rankine
unece_a49,A49,denier,rec20,denier
unece_a5,A5,ampere square metre,rec20,amper metru pătrat
unece_a53,A53,electronvolt,rec20,electronvolt
unece_a54,A54,electronvolt per metre,rec20,electronvolt per metru
unece_a55,A55,electronvolt square metre,rec20,electronvolt-metru pătrat
unece_a56,A56,electronvolt square metre per kilogram,rec20,electronvolt-metru pătrat pe kilogram
unece_a59,A59,8-part cloud cover,rec20,nor (8-part cloud cover)
unece_a6,A6,ampere per square metre kelvin squared,rec20,amperi per metru pătrat kelvin pătrat
unece_a68,A68,exajoule,rec20,exajoule
unece_a69,A69,farad per metre,rec20,farad per metru
unece_a7,A7,ampere per square millimetre,rec20,amperi per milimetru pătrat
